"Name","Na","Nb","Com","X_RA","X_DE"
"4U 0513-40",20,17,"                ",78.52746,-40.04361
"4U 0614+09",1,0,"                ",94.28042,9.13694
"EXO 0748-676",160,108,"                ",117.13875,-67.75
"4U 0836-429",17,1,"                ",129.34583,-42.895
"2S 0918-549",4,1,"                ",140.11029,-55.20681
"4U 1254-69",7,4,"                ",194.4048,-69.28861
"4U 1323-62",40,25,"                ",201.65129,-62.13608
"Cir X-1",13,0,"                ",230.17021,-57.16669
"4U 1608-522",56,43,"                ",243.17917,-52.42306
"4U 1636-536",388,303,"                ",250.23125,-53.75139
"MXB 1658-298",26,8,"                ",255.52725,-29.94558
"XTE J1701-462",3,3,"                ",255.24358,-46.18572
"4U 1702-429",51,41,"                ",256.56381,-43.03575
"4U 1705-44",94,64,"                ",257.22696,-44.10204
"XTE J1709-267",3,1,"                ",257.391,-26.665
"XTE J1710-281",46,9,"                ",257.55125,-28.13167
"IGR J17191-2821",5,5,"                ",259.80833,-28.32667
"XTE J1723-376",3,0,"                ",260.91125,-37.66167
"4U 1722-30",4,3,"                ",261.88854,-30.80206
"4U 1728-34",175,137,"                ",262.99054,-33.83403
"MXB 1730-335",127,45,"                ",263.35254,-33.38883
"KS 1731-260",27,25,"                ",263.55608,-26.0885
"SLX 1735-269",1,1,"                ",264.57133,-26.99406
"4U 1735-444",23,17,"                ",264.74292,-44.45
"XTE J1739-285",6,6,"                ",264.97479,-28.49633
"KS 1741-293",1,0,"                ",266.21275,-29.35467
"GRS 1741.9-2853",8,0,"                ",266.25971,-28.91381
"1A 1742-294",87,5,"                ",266.52167,-29.51481
"SLX 1744-300",24,14,"SLX 1744-299/300",266.85583,-30.04472
"1A 1744-361",3,3,"                ",267.05478,-36.13251
"GX 3+1",3,3,"                ",266.98333,-26.56361
"EXO 1745-248",22,16,"                ",267.02165,-24.77983
"4U 1746-37",29,13,"                ",267.55275,-37.05228
"IGR J17473-2721",45,40,"                ",266.82525,-27.34414
"GRS 1747-312",7,2,"                ",267.69526,-31.27468
"SAX J1747.0-2853",27,15,"                ",266.76083,-28.88303
"SAX J1748.9-2021",29,29,"                ",267.21735,-20.359
"IGR J17480-2446",303,15,"                ",267.02013,-24.78024
"IGR J17498-2921",2,0,"                ",267.48062,-29.32211
"SAX J1750.8-2900",7,5,"                ",267.60175,-29.03761
"IGR J17511-3057",10,9,"                ",267.78562,-30.96158
"IGR J17597-2201",9,9,"                ",269.94042,-22.0275
"SAX J1806.5-2215",4,4,"                ",271.64167,-22.25167
"SAX J1808.4-3658",9,7,"                ",272.11475,-36.97897
"XTE J1810-189",9,3,"                ",272.58692,-19.06978
"SAX J1810.8-2609",6,6,"                ",272.68529,-26.15033
"XTE J1812-182",7,0,"                ",273.11583,-18.20944
"XTE J1814-338",28,25,"                ",273.41262,-33.77286
"GX 17+2",15,3,"                ",274.00579,-14.03628
"4U 1820-303",16,15,"                ",275.91904,-30.36128
"GS 1826-24",78,58,"                ",277.3675,-23.79694
"XB 1832-330",1,0,"                ",278.93187,-32.99077
"Ser X-1",19,13,"                ",279.98983,5.036
"4U 1850-086",1,0,"                ",283.27037,-8.70547
"HETE J1900.1-2455",8,8,"                ",285.03604,-24.92047
"Aql X-1",75,53,"                ",287.81687,0.58494
"XB 1916-053",14,10,"                ",289.69946,-5.23808
"XTE J2123-058",6,3,"                ",320.81058,-5.79803
"4U 2129+12",6,1,"                ",322.49297,12.16741
"Cyg X-2",70,0,"                ",326.17146,38.32142
